acc_id,cust_id,current_bal
deserunt,2912,quos
fugiat,9240,quam
omnis,5525,molestias
ullam,6234,labore
voluptas,3594,voluptatibus
incidunt,5803,pariatur
officiis,4334,consectetur
sunt,3250,exercitationem
repellendus,6344,praesentium
dicta,6898,soluta
voluptates,8567,facilis
repellat,4098,magni
necessitatibus,5987,labore
dolorum,7225,atque
deleniti,8981,explicabo
ab,8308,rem
voluptas,4586,velit
hic,4045,culpa
nulla,7631,impedit
aut,2112,perspiciatis
accusantium,4922,facilis
necessitatibus,6759,reiciendis
tenetur,8002,quod
autem,2065,quisquam
harum,7918,voluptate
a,8263,facilis
sequi,9846,dicta
doloremque,6803,nisi
fugit,5100,eaque
debitis,4346,laboriosam
quae,2268,quos
quisquam,6790,cupiditate
adipisci,5565,numquam
illo,6009,exercitationem
nulla,7928,nostrum
harum,6254,est
nulla,3773,facilis
culpa,6553,ea
corporis,2802,exercitationem
ducimus,9360,quae
numquam,3967,maiores
vitae,4080,quidem
natus,9892,quasi
impedit,3832,natus
temporibus,5187,tempora
quam,8245,nemo
quidem,9652,culpa
fugiat,3011,possimus
iusto,6044,eveniet
explicabo,6032,quaerat
impedit,3647,officia
illum,4068,hic
pariatur,4026,blanditiis
labore,1193,modi
mollitia,6216,magni
natus,1109,est
veniam,5824,cumque
vero,2511,voluptatum
fugiat,7196,iure
fuga,8430,in
fuga,2909,suscipit
voluptatum,3472,assumenda
maiores,7257,omnis
adipisci,8527,eos
reprehenderit,5821,ratione
at,8233,incidunt
ratione,7415,doloribus
dolor,8834,incidunt
ullam,9508,voluptates
harum,8726,debitis
hic,7238,voluptas
libero,1701,atque
libero,6561,ea
vero,9831,ullam
quisquam,6548,expedita
vero,6800,sapiente
recusandae,6345,enim
tempora,5388,molestiae
corrupti,7166,atque
consequatur,8415,expedita
quae,6156,laudantium
molestiae,6253,corporis
explicabo,3551,perferendis
nulla,2381,id
numquam,2907,porro
eligendi,5768,cupiditate
numquam,8433,soluta
sint,1799,facere
amet,4369,fugit
sint,7408,quibusdam
omnis,7820,sed
ut,9166,molestiae
rerum,1699,nostrum
ducimus,4674,libero
necessitatibus,2805,cum
vel,5986,sapiente
ab,4273,dolores
necessitatibus,2052,officia
pariatur,5479,ducimus
totam,9632,eos
ea,3646,commodi
numquam,1476,eaque
quas,2460,nihil
velit,9793,veritatis
modi,2186,dolorum
quos,5094,dolore
reiciendis,8556,magni
neque,3234,minima
quis,5658,cumque
tempore,9281,sequi
nesciunt,8623,commodi
non,8260,omnis
eligendi,7767,pariatur
labore,7850,beatae
at,6534,excepturi
maxime,3743,voluptatibus
eaque,5642,quibusdam
facilis,7849,debitis
enim,7890,deserunt
possimus,9000,expedita
possimus,1288,fuga
quas,8916,qui
natus,9411,est
temporibus,6988,omnis
quaerat,4677,sed
odio,9573,iure
labore,7474,saepe
magni,9015,illo
voluptatem,5599,praesentium
officiis,3475,pariatur
assumenda,6494,cupiditate
laudantium,7636,nisi
expedita,4449,pariatur
consequatur,8796,consectetur
repellat,5897,doloribus
vitae,6914,impedit
nam,2217,sunt
earum,6444,perspiciatis
tenetur,1624,facilis
necessitatibus,1849,magnam
modi,3474,autem
velit,3936,in
provident,5024,labore
earum,5529,minus
in,6269,numquam
asperiores,3540,ex
error,5319,iste
fuga,1665,suscipit
debitis,1147,nihil
omnis,1106,hic
dolorum,5192,fuga
eaque,4373,aliquam
fuga,4619,cumque
hic,7009,cum
aut,3109,nemo
delectus,8966,blanditiis
consequuntur,6027,voluptas
totam,5632,culpa
eum,5648,pariatur
rerum,1793,consectetur
rerum,4817,omnis
sunt,8061,deserunt
ad,6953,commodi
voluptates,8262,nihil
exercitationem,3270,nihil
molestias,9318,veritatis
repellat,3385,voluptatibus
magnam,4434,voluptatum
voluptatum,3273,non
omnis,6933,earum
quasi,2718,quidem
neque,5026,architecto
aspernatur,7055,sunt
similique,4646,laudantium
voluptatum,2323,fuga
hic,6769,repudiandae
culpa,8201,enim
esse,4963,aperiam
